Wind_power_MW,Solar_power_kW,Consumption_MW
65.65551564,0,34.70
69.1110691,0,32.79
72.13467837,178.6368,33.09
75.59023182,721.536,33.63
68.24718073,3752.5248,34.51
60.47218546,6037.7856,35.63
53.12913437,6266.6496,37.93
60.90412964,5445.0432,38.86
68.67912491,3425.8176,39.99
76.45412019,5846.1696,39.99
71.70273419,5086.3104,39.89
66.519404,3721.0368,37.00
61.768018,1793.4336,38.57
69.54301328,360.8832,39.40
77.31800855,0,45.28
85.09300382,0,44.79
93.73188746,0,46.40
102.8027153,0,44.05
111.4415989,0,42.00
104.530492,0,39.70
97.6193851,0,38.37
90.70827819,0,34.36
83.79717128,0,31.57
76.45412019,0,31.18
130.0151987,0,31.23
131.7429755,0,33.53
133.9026964,0,32.45
135.6304731,0,35.58
124.3999244,857.7024,38.28
112.7374315,1105.2288,40.67
101.0749386,1224.96,45.47
85.95689219,742.9632,46.69
70.40690164,514.4064,43.56
54.85691109,776.5248,45.86
56.58468782,1191.7824,40.28
58.74440873,488.6784,43.02
60.90412964,0,41.85
79.04578528,0,41.46
97.18744092,0,45.57
115.7610407,0,46.11
119.6485384,0,48.80
123.536036,0,45.47
127.4235336,0,45.96
130.4471429,0,42.09
133.038808,0,39.21
135.6304731,0,33.82
133.9026964,0,33.33
131.7429755,0,33.68
130.0151987,0,31.91
130.4471429,0,32.40
130.8790871,0,32.84
131.7429755,0,34.95
117.4888175,707.712,39.21
103.6666036,335.7696,41.51
89.41244564,400.0512,46.65
79.04578528,1377.9456,46.11
68.67912491,1110.9888,45.91
58.31246455,342.912,43.27
70.83884582,500.0448,43.76
83.3652271,49.9968,42.39
95.89160837,0,41.41
106.6902129,0,43.61
117.4888175,0,50.46
128.287422,0,49.58
132.6068638,0,47.28
136.9263056,0,45.76
141.2457475,0,43.81
141.6776916,0,40.38
142.54158,0,39.16
142.9735242,0,36.51
141.6776916,0,34.70
140.3818591,0,34.26
138.6540824,0,31.42
140.3818591,0,31.72
142.1096358,0,35.00
143.4054684,0,36.42
128.287422,1050.624,39.70
113.6013198,1395.6096,45.47
98.48327346,721.536,44.69
85.95689219,1766.4768,45.81
73.8624551,635.8272,47.67
61.33607382,826.4448,47.82
57.88052037,171.4944,43.02
54.42496691,57.1392,43.76
50.53746928,0,45.28
54.42496691,0,44.30
57.88052037,0,47.97
61.33607382,0,47.67
52.69719019,0,51.00
44.49025073,0,49.48
35.85136709,0,46.30
41.89858564,0,42.14
47.51386,0,38.28
53.56107855,0,34.65
57.88052037,0,32.60
62.19996219,0,32.50
66.519404,0,33.04
57.016632,0,32.99
47.08191582,0,33.58
37.57914382,0,36.07
27.21248346,292.9152,39.94
16.84582309,350.0544,42.44
6.479162728,450.048,46.06
13.82221382,940.032,46.25
20.73332073,485.76,49.24
28.07637182,264.3456,44.15
39.73886473,464.3328,43.42
51.83330182,49.9968,44.93
63.92773891,0,44.10
62.19996219,0,45.52
60.47218546,0,49.04
59.17635291,0,48.46
67.81523655,0,47.77
76.88606437,0,47.28
85.95689219,0,45.52
69.97495746,0,43.81
54.42496691,0,39.16
38.87497637,0,34.36
34.98747873,0,31.72
31.09998109,0,32.35
27.21248346,0,31.67
34.98747873,0,31.86
42.33052982,0,34.85
50.10552509,0,36.95
45.35413909,1866.3936,39.84
40.60275309,928.896,40.53
35.85136709,833.7408,42.68
36.71525546,742.9632,45.03
37.14719964,1548.0576,43.71
38.011088,1368.6528,43.51
34.55553455,1045.5552,42.34
31.53192528,537.4464,43.56
28.07637182,0,43.37
50.96941346,0,43.76
73.8624551,0,46.55
97.18744092,0,49.09
105.3943804,0,49.53
113.6013198,0,44.49
121.3763151,0,42.58
121.3763151,0,42.53
121.3763151,0,38.67
121.3763151,0,33.77
120.0804826,0,33.23
118.3527058,0,32.26
116.6249291,0,31.57
120.9443709,0,31.82
124.8318686,0,32.21
128.7193662,0,33.97
114.4652082,379.5456,39.25
100.6429944,846.9504,40.67
86.38883637,707.2512,42.44
70.83884582,1356.288,43.76
54.85691109,2239.488,43.51
39.30692055,2811.648,44.44
56.58468782,1459.8912,43.17
74.29439928,1003.8528,39.30
91.57216655,0,40.87
108.4179896,0,43.07
125.6957569,0,46.69
142.54158,0,46.79
