id, timestamp, coal, nuclear, ccgt, wind, pumped, hydro, biomass, oil, solar
899501, 2019-12-22 15:30:38, 876, 6502, 15956, 4121, 0, 721, 2339, 0, 533
899502, 2019-12-22 15:35:41, 875, 6509, 16120, 4099, 0, 720, 2340, 0, 180
899503, 2019-12-22 15:40:38, 875, 6517, 16160, 4034, 201, 719, 2348, 0, 189
899504, 2019-12-22 15:45:41, 875, 6516, 16124, 4005, 149, 719, 2354, 0, 189
899505, 2019-12-22 15:50:35, 875, 6499, 16094, 3992, 361, 720, 2356, 0, 189
899506, 2019-12-22 15:55:38, 876, 6500, 16195, 4015, 494, 720, 2358, 0, 199
899507, 2019-12-22 16:00:35, 876, 6508, 16316, 4076, 511, 722, 2353, 0, 199
899508, 2019-12-22 16:05:39, 875, 6501, 16519, 4122, 543, 793, 2344, 0, 26
899509, 2019-12-22 16:10:33, 875, 6500, 16564, 4116, 722, 956, 2351, 0, 26.700001
899510, 2019-12-22 16:15:39, 877, 6502, 16807, 4046, 855, 962, 2357, 0, 26.700001
899511, 2019-12-22 16:20:38, 874, 6502, 16919, 4027, 1115, 928, 2360, 0, 26.700001
899512, 2019-12-22 16:25:38, 875, 6498, 16881, 4032, 1467, 918, 2359, 0, 27.9
899513, 2019-12-22 16:30:34, 876, 6501, 16945, 4013, 1664, 917, 2358, 0, 27.9
899514, 2019-12-22 16:35:35, 875, 6507, 16992, 4011, 1774, 917, 2359, 0, 0.548
899515, 2019-12-22 16:40:39, 875, 6499, 17212, 4026, 1774, 918, 2359, 0, 0.548
899516, 2019-12-22 16:45:37, 872, 6489, 17318, 4043, 1774, 918, 2357, 0, 0.548
899517, 2019-12-22 16:50:35, 873, 6492, 17383, 4096, 1775, 917, 2354, 0, 0.548
899518, 2019-12-22 16:55:38, 878, 6489, 17600, 4124, 1774, 916, 2357, 0, 0.548
899519, 2019-12-22 17:00:40, 876, 6488, 17636, 4205, 1774, 917, 2354, 0, 0.548
899520, 2019-12-22 17:05:35, 875, 6494, 17658, 4280, 1775, 924, 2354, 0, 0
899521, 2019-12-22 17:10:38, 872, 6499, 17617, 4345, 1774, 954, 2356, 0, 0
